GEOID20,county,mep_published,mep_harm_lo,mep_harm_hi,rank_published,rank_harm
120570102184,Hillsborough,6101.5799,5838.5172,5838.4602,1285,1222
120570103031,Hillsborough,6812.7314,6285.6501,6285.5442,1186,1123
120570103032,Hillsborough,6896.3828,6399.7979,6399.7100,1174,1100
120570103033,Hillsborough,7064.4384,6515.1146,6515.1141,1151,1081
120570103041,Hillsborough,6100.3242,5714.0881,5713.9008,1286,1242
120570103042,Hillsborough,7176.1279,6677.8332,6677.7000,1132,1046
120570103043,Hillsborough,5191.1612,4739.0270,4738.9795,1431,1423
120570103051,Hillsborough,7417.3083,6800.9733,6800.7919,1089,1015
120570103052,Hillsborough,7997.1779,7395.0988,7394.8722,970,838
120570103053,Hillsborough,8147.9121,7655.8663,7655.7908,941,766
120570104011,Hillsborough,9658.0687,8866.2305,8866.1609,567,498
120570104012,Hillsborough,9802.1691,9004.9272,9004.8576,534,465
120570104013,Hillsborough,9051.6233,8209.8249,8209.5116,732,643
120570104021,Hillsborough,10518.9459,9767.6152,9767.1203,409,338
120570104022,Hillsborough,10774.6658,9972.6361,9972.0447,369,310
120570104023,Hillsborough,11233.6355,10265.9600,10265.0737,314,269
120570104024,Hillsborough,9236.7586,8638.8283,8638.5875,671,547
120570105011,Hillsborough,9656.3517,9046.9394,9046.9394,568,460
120570105012,Hillsborough,10188.4875,9306.3819,9304.9984,462,412
120570105013,Hillsborough,12046.9835,10613.8560,10610.2893,248,239
120570105021,Hillsborough,10474.9577,9761.2951,9761.0006,417,341
120570105022,Hillsborough,11553.8613,10618.2637,10617.5218,291,238
120570106001,Hillsborough,11395.9012,10020.5662,10016.9587,303,300
120570106002,Hillsborough,10150.6460,8994.9038,8991.9218,469,467
120570106003,Hillsborough,9280.2584,8282.3781,8279.9417,658,623
120570107011,Hillsborough,9181.8756,8150.1902,8147.0620,689,653
120570107012,Hillsborough,10412.5728,8994.0014,8989.2323,426,468
120570107013,Hillsborough,10451.9733,8885.2641,8880.2050,424,492
120570107014,Hillsborough,11133.0122,9411.0244,9405.3363,324,390
120570107021,Hillsborough,11358.8275,9697.9336,9692.7419,305,352
120570107022,Hillsborough,10064.9454,8786.7689,8783.0512,488,514
120570108051,Hillsborough,12682.1220,10523.4204,10514.8564,222,249
120570108052,Hillsborough,11974.9936,10010.4934,10002.9935,252,302
120570108053,Hillsborough,12099.7265,10066.0054,10057.9277,242,292
120570108081,Hillsborough,11233.1876,9400.7690,9393.3579,315,392
120570108082,Hillsborough,11724.5757,9440.7456,9431.2030,273,387
120570108091,Hillsborough,10543.0172,9080.4894,9075.2232,405,453
120570108092,Hillsborough,11075.5262,9458.9264,9453.1301,331,383
120570108101,Hillsborough,8363.9934,7920.3108,7920.1974,893,699
120570108102,Hillsborough,8879.8375,8286.9654,8286.3067,774,621
120570108111,Hillsborough,10627.4948,9209.5922,9204.6553,392,434
120570108112,Hillsborough,10701.0430,9544.2167,9540.9465,376,376
120570108113,Hillsborough,9310.1890,8799.4765,8799.3182,648,512
120570108114,Hillsborough,9357.3773,8891.7947,8891.7910,633,491
120570108115,Hillsborough,10164.3824,8776.2941,8771.4833,465,516
120570108141,Hillsborough,11575.7531,9592.0136,9584.1843,288,365
120570108142,Hillsborough,11246.6742,9585.8821,9579.4075,312,368
120570108151,Hillsborough,12069.2265,9995.8686,9987.4708,246,303
120570108152,Hillsborough,12094.0566,9916.8398,9908.3153,243,317
120570108161,Hillsborough,11700.5369,9648.4212,9640.1271,278,359
120570108162,Hillsborough,11573.0579,9584.9266,9577.0085,289,369
120570108163,Hillsborough,11717.8157,9663.3165,9655.3521,275,355
120570108171,Hillsborough,10808.1967,9303.7990,9297.9407,362,415
120570108172,Hillsborough,10991.7679,9336.6898,9330.1843,345,404
120570108173,Hillsborough,11402.0600,9895.5851,9890.4092,302,321
120570108191,Hillsborough,9449.6912,9041.4811,9041.4787,614,461
120570108192,Hillsborough,11022.7358,9032.6430,9023.9372,339,464
120570108201,Hillsborough,10809.6260,9292.5125,9286.4245,361,419
120570108202,Hillsborough,11353.0187,9216.4012,9207.2902,306,433
120570108211,Hillsborough,11910.6678,9980.2273,9972.5920,257,309
120570108212,Hillsborough,11864.7429,9902.8970,9894.9575,263,320
120570108221,Hillsborough,11844.7435,9952.7120,9945.5569,266,313
120570108222,Hillsborough,11654.3660,9839.1399,9831.8143,282,328
120570108231,Hillsborough,11198.6720,9115.2884,9106.2831,319,446
120570108241,Hillsborough,11907.8663,9631.0914,9621.7204,258,360
120570108242,Hillsborough,11591.1801,9195.2685,9185.9543,287,436
